iter	MAE	RMSE
0	0.1234365	0.1234375
1	0.1218935312	0.1218945312
2	0.1203698495	0.1203708495
3	0.1188652139	0.1188662139
4	0.1173793862	0.1173803862
5	0.1159121314	0.1159131314
6	0.1144632172	0.1144642172
7	0.1130324145	0.1130334145
8	0.1116194968	0.1116204968
9	0.1102242405	0.1102252405
10	0.108846425	0.108847425
11	0.1074858322	0.1074868322
12	0.1061422467	0.1061432467
13	0.1048154561	0.1048164561
14	0.1035052504	0.1035062504
15	0.1022114223	0.1022124223
16	0.100933767	0.100934767
17	0.09967208236	0.09967308236
18	0.09842616881	0.09842716881
19	0.09719582919	0.09719682919
20	0.0959808688	0.0959818688
21	0.09478109543	0.09478209543
22	0.09359631921	0.09359731921
23	0.09242635271	0.09242735271
24	0.09127101078	0.09127201078
25	0.09013011063	0.09013111063
26	0.08900347173	0.08900447173
27	0.08789091582	0.08789191582
28	0.08679226685	0.08679326685
29	0.085707351	0.085708351
30	0.0846359966	0.0846369966
31	0.08357803412	0.08357903412
32	0.08253329618	0.08253429618
33	0.08150161746	0.08150261746
34	0.08048283473	0.08048383473
35	0.07947678678	0.07947778678
36	0.07848331443	0.07848431443
37	0.07750226049	0.07750326049
38	0.07653346972	0.07653446972
39	0.07557678883	0.07557778883
40	0.07463206646	0.07463306646
41	0.07369915311	0.07370015311
42	0.07277790118	0.07277890118
43	0.07186816491	0.07186916491
44	0.07096980033	0.07097080033
45	0.07008266531	0.07008366531
46	0.06920661948	0.06920761948
47	0.06834152423	0.06834252423
48	0.06748724266	0.06748824266
49	0.06664363962	0.06664463962
50	0.06581058161	0.06581158161
51	0.06498793683	0.06498893683
52	0.0641755751	0.0641765751
53	0.0633733679	0.0633743679
54	0.06258118829	0.06258218829
55	0.06179891093	0.06179991093
56	0.06102641203	0.06102741203
57	0.06026356937	0.06026456937
58	0.05951026224	0.05951126224
59	0.05876637145	0.05876737145
60	0.0580317793	0.0580327793
61	0.05730636954	0.05730736954
62	0.05659002741	0.05659102741
63	0.05588263956	0.05588363956
64	0.05518409406	0.05518509406
65	0.05449428037	0.05449528037
66	0.05381308936	0.05381408936
67	0.05314041323	0.05314141323
68	0.05247614555	0.05247714555
69	0.05182018122	0.05182118122
70	0.05117241645	0.05117341645
71	0.05053274873	0.05053374873
72	0.04990107686	0.04990207686
73	0.04927730089	0.04927830089
74	0.04866132212	0.04866232212
75	0.04805304309	0.04805404309
76	0.04745236754	0.04745336754
77	0.04685920044	0.04686020044
78	0.04627344792	0.04627444792
79	0.04569501732	0.04569601732
80	0.04512381709	0.04512481709
81	0.04455975687	0.04456075687
82	0.0440027474	0.0440037474
83	0.04345270055	0.04345370055
84	0.04290952928	0.04291052928
85	0.04237314766	0.04237414766
86	0.04184347081	0.04184447081
87	0.04132041491	0.04132141491
88	0.04080389722	0.04080489722
89	0.040293836	0.040294836
90	0.03979015054	0.03979115054
91	0.03929276115	0.03929376115
92	0.03880158913	0.03880258913
93	0.03831655676	0.03831755676
94	0.03783758729	0.03783858729
95	0.03736460494	0.03736560494
96	0.03689753487	0.03689853487
97	0.03643630318	0.03643730318
98	0.03598083688	0.03598183688
99	0.03553106392	0.03553206392
100	0.03508691311	0.03508791311
101	0.03464831419	0.03464931419
102	0.03421519776	0.03421619776
103	0.03378749528	0.03378849528
104	0.03336513908	0.03336613908
105	0.03294806234	0.03294906234
106	0.03253619905	0.03253719905
107	0.03212948406	0.03213048406
108	0.031727853	0.031728853
109	0.03133124233	0.03133224233
110	0.0309395893	0.0309405893
111	0.03055283192	0.03055383192
112	0.03017090902	0.03017190902
113	0.02979376015	0.02979476015
114	0.02942132564	0.02942232564
115	0.02905354657	0.02905454657
116	0.02869036473	0.02869136473
117	0.02833172267	0.02833272267
118	0.02797756363	0.02797856363
119	0.02762783158	0.02762883158
120	0.02728247118	0.02728347118
121	0.02694142778	0.02694242778
122	0.02660464743	0.02660564743
123	0.02627207683	0.02627307683
124	0.02594366337	0.02594466337
125	0.02561935507	0.02562035507
126	0.02529910063	0.02530010063
127	0.02498284936	0.02498384936
128	0.02467055124	0.02467155124
129	0.02436215685	0.02436315685
130	0.02405761738	0.02405861738
131	0.02375688466	0.02375788466
132	0.0234599111	0.0234609111
133	0.0231666497	0.0231676497
134	0.02287705408	0.02287805408
135	0.0225910784	0.0225920784
136	0.02230867741	0.02230967741
137	0.02202980644	0.02203080644
138	0.02175442136	0.02175542136
139	0.02148247859	0.02148347859
140	0.0212139351	0.0212149351
141	0.02094874841	0.02094974841
142	0.02068687655	0.02068787655
143	0.02042827809	0.02042927809
144	0.02017291211	0.02017391211
145	0.0199207382	0.0199217382
146	0.01967171647	0.01967271647
147	0.01942580751	0.01942680751
148	0.01918297242	0.01918397242
149	0.01894317276	0.01894417276
150	0.01870637059	0.01870737059
151	0.01847252846	0.01847352846
152	0.01824160935	0.01824260935
153	0.01801357673	0.01801457673
154	0.01778839452	0.01778939452
155	0.01756602708	0.01756702708
156	0.01734643924	0.01734743924
157	0.01712959625	0.01713059625
158	0.01691546379	0.01691646379
159	0.01670400799	0.01670500799
160	0.01649519539	0.01649619539
161	0.01628899294	0.01628999294
162	0.01608536803	0.01608636803
163	0.01588428842	0.01588528842
164	0.01568572231	0.01568672231
165	0.01548963828	0.01549063828
166	0.0152960053	0.0152970053
167	0.01510479273	0.01510579273
168	0.01491597032	0.01491697032
169	0.01472950819	0.01473050819
170	0.01454537683	0.01454637683
171	0.01436354712	0.01436454712
172	0.01418399028	0.01418499028
173	0.0140066779	0.0140076779
174	0.01383158192	0.01383258192
175	0.01365867464	0.01365967464
176	0.01348792871	0.01348892871
177	0.0133193171	0.0133203171
178	0.01315281313	0.01315381313
179	0.01298839046	0.01298939046
180	0.01282602308	0.01282702308
181	0.01266568529	0.01266668529
182	0.01250735172	0.01250835172
183	0.01235099732	0.01235199732
184	0.01219659735	0.01219759735
185	0.01204412738	0.01204512738
186	0.01189356329	0.01189456329
187	0.01174488125	0.01174588125
188	0.01159805773	0.01159905773
189	0.01145306951	0.01145406951
190	0.01130989363	0.01131089363
191	0.01116850746	0.01116950746
192	0.01102888862	0.01102988862
193	0.01089101501	0.01089201501
194	0.01075486482	0.01075586482
195	0.0106204165	0.0106214165
196	0.0104876488	0.0104886488
197	0.01035654068	0.01035754068
198	0.01022707142	0.01022807142
199	0.01009922053	0.01010022053
200	0.009972967771	0.009973967771
201	0.009848293172	0.009849293172
202	0.009725177005	0.009726177005
203	0.009603599791	0.009604599791
204	0.009483542292	0.009484542292
205	0.009364985511	0.009365985511
206	0.009247910691	0.009248910691
207	0.009132299305	0.009133299305
208	0.009018133062	0.009019133062
209	0.008905393898	0.008906393898
210	0.008794063972	0.008795063972
211	0.008684125671	0.008685125671
212	0.008575561598	0.008576561598
213	0.008468354577	0.008469354577
214	0.008362487643	0.008363487643
215	0.008257944046	0.008258944046
216	0.008154707244	0.008155707244
217	0.008052760902	0.008053760902
218	0.007952088889	0.007953088889
219	0.007852675276	0.007853675276
220	0.007754504334	0.007755504334
221	0.007657560528	0.007658560528
222	0.00756182852	0.00756282852
223	0.007467293162	0.007468293162
224	0.007373939496	0.007374939496
225	0.007281752751	0.007282752751
226	0.007190718341	0.007191718341
227	0.00710082186	0.00710182186
228	0.007012049085	0.007013049085
229	0.006924385971	0.006925385971
230	0.006837818645	0.006838818645
231	0.00675233341	0.00675333341
232	0.006667916741	0.006668916741
233	0.006584555281	0.006585555281
234	0.006502235839	0.006503235839
235	0.006420945389	0.006421945389
236	0.006340671071	0.006341671071
237	0.006261400181	0.006262400181
238	0.006183120178	0.006184120178
239	0.006105818675	0.006106818675
240	0.00602948344	0.00603048344
241	0.005954102396	0.005955102396
242	0.005879663615	0.005880663615
243	0.005806155319	0.005807155319
244	0.005733565876	0.005734565876
245	0.005661883801	0.005662883801
246	0.005591097753	0.005592097753
247	0.00552119653	0.00552219653
248	0.005452169072	0.005453169072
249	0.005384004458	0.005385004458
250	0.005316691901	0.005317691901
251	0.005250220751	0.005251220751
252	0.005184580491	0.005185580491
253	0.005119760734	0.005120760734
254	0.005055751224	0.005056751224
255	0.004992541833	0.004993541833
256	0.004930122559	0.004931122559
257	0.004868483526	0.004869483526
258	0.004807614981	0.004808614981
259	0.004747507293	0.004748507293
260	0.004688150951	0.004689150951
261	0.004629536563	0.004630536563
262	0.004571654855	0.004572654855
263	0.004514496668	0.004515496668
264	0.004458052959	0.004459052959
265	0.004402314796	0.004403314796
266	0.004347273361	0.004348273361
267	0.004292919943	0.004293919943
268	0.004239245943	0.004240245943
269	0.004186242868	0.004187242868
270	0.004133902331	0.004134902331
271	0.004082216051	0.004083216051
272	0.00403117585	0.00403217585
273	0.003980773651	0.003981773651
274	0.003931001479	0.003932001479
275	0.00388185146	0.00388285146
276	0.003833315816	0.003834315816
277	0.003785386868	0.003786386868
278	0.003738057031	0.003739057031
279	0.003691318818	0.003692318818
280	0.003645164832	0.003646164832
281	0.003599587771	0.003600587771
282	0.003554580423	0.003555580423
283	0.003510135667	0.003511135667
284	0.00346624647	0.00346724647
285	0.003422905889	0.003423905889
286	0.003380107065	0.003381107065
287	0.003337843226	0.003338843226
288	0.003296107685	0.003297107685
289	0.003254893838	0.003255893838
290	0.003214195165	0.003215195165
291	0.003174005224	0.003175005224
292	0.003134317658	0.003135317658
293	0.003095126187	0.003096126187
294	0.003056424609	0.003057424609
295	0.003018206801	0.003019206801
296	0.002980466716	0.002981466716
297	0.002943198381	0.002944198381
298	0.002906395901	0.002907395901
299	0.002870053451	0.002871053451
300	0.002834165283	0.002835165283
301	0.002798725716	0.002799725716
302	0.002763729144	0.002764729144
303	0.002729170029	0.002730170029
304	0.002695042903	0.002696042903
305	0.002661342367	0.002662342367
306	0.002628063087	0.002629063087
307	0.002595199798	0.002596199798
308	0.0025627473	0.0025637473
309	0.002530700458	0.002531700458
310	0.002499054202	0.002500054202
311	0.002467803524	0.002468803524
312	0.002436943479	0.002437943479
313	0.002406469185	0.002407469185
314	0.00237637582	0.00237737582
315	0.002346658622	0.002347658622
316	0.002317312889	0.002318312889
317	0.002288333977	0.002289333977
318	0.002259717302	0.002260717302
319	0.002231458335	0.002232458335
320	0.002203552606	0.002204552606
321	0.002175995698	0.002176995698
322	0.002148783251	0.002149783251
323	0.00212191096	0.00212291096
324	0.002095374573	0.002096374573
325	0.00206916989	0.00207016989
326	0.002043292766	0.002044292766
327	0.002017739106	0.002018739106
328	0.001992504867	0.001993504867
329	0.001967586056	0.001968586056
330	0.00194297873	0.00194397873
331	0.001918678995	0.001919678995
332	0.001894683007	0.001895683007
333	0.001870986969	0.001871986969
334	0.001847587132	0.001848587132
335	0.001824479792	0.001825479792
336	0.001801661295	0.001802661295
337	0.001779128028	0.001780128028
338	0.001756876427	0.001757876427
339	0.001734902972	0.001735902972
340	0.001713204184	0.001714204184
341	0.001691776632	0.001692776632
342	0.001670616923	0.001671616923
343	0.001649721712	0.001650721712
344	0.00162908769	0.00163008769
345	0.001608711593	0.001609711593
346	0.001588590198	0.001589590198
347	0.00156872032	0.00156972032
348	0.001549098816	0.001550098816
349	0.001529722581	0.001530722581
350	0.001510588548	0.001511588548
351	0.001491693691	0.001492693691
352	0.00147303502	0.00147403502
353	0.001454609582	0.001455609582
354	0.001436414462	0.001437414462
355	0.001418446781	0.001419446781
356	0.001400703695	0.001401703695
357	0.001383182399	0.001384182399
358	0.001365880119	0.001366880119
359	0.001348794117	0.001349794117
360	0.00133192169	0.00133292169
361	0.001315260169	0.001316260169
362	0.001298806917	0.001299806917
363	0.00128255933	0.00128355933
364	0.001266514838	0.001267514838
365	0.001250670902	0.001251670902
366	0.001235025016	0.001236025016
367	0.001219574703	0.001220574703
368	0.001204317519	0.001205317519
369	0.00118925105	0.00119025105
370	0.001174372911	0.001175372911
371	0.00115968075	0.00116068075
372	0.00114517224	0.00114617224
373	0.001130845087	0.001131845087
374	0.001116697023	0.001117697023
375	0.00110272581	0.00110372581
376	0.001088929237	0.001089929237
377	0.001075305122	0.001076305122
378	0.001061851307	0.001062851307
379	0.001048565666	0.001049565666
380	0.001035446095	0.001036446095
381	0.001022490518	0.001023490518
382	0.001009696887	0.001010696887
383	0.0009970631755	0.0009980631755
384	0.0009845873856	0.0009855873856
385	0.0009722675431	0.0009732675431
386	0.0009601016987	0.0009611016987
387	0.0009480879272	0.0009490879272
388	0.000936224328	0.000937224328
389	0.0009245090237	0.0009255090237
390	0.0009129401607	0.0009139401607
391	0.0009015159086	0.0009025159086
392	0.0008902344595	0.0008912344595
393	0.0008790940286	0.0008800940286
394	0.0008680928531	0.0008690928531
395	0.0008572291923	0.0008582291923
396	0.0008465013272	0.0008475013272
